videoId,textDisplay,likeCount,publishedAt
yO2SBWOgci4,"MERCEDES NOT HAPPY, RED BULL WILL BE DELIGHTED! THEY HAVE SHARED A BRILLIANT CHAMPIONSHIP BATTLE BUT THE CHAMPIONSHIP CAN ONLY BE WON BY ONE, AND ITS GOING DUTCH IN 2021 MAX VERSTAPPEN FOR THE FIRST TIME EVER IS CHAMPION OF THE WORLD!!!! 🧡🇳🇱🏆",1,2023-01-22T19:16:53Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m41s"">13:41</a> 🤣",1,2023-01-22T04:39:37Z
yO2SBWOgci4,Loved seeing llando slide off the track after being so adamant to stay on. Learnt the hard way.,0,2023-01-17T19:48:15Z
yO2SBWOgci4,I don&#39;t think we&#39;ll ever get another season as intense as 2021,1,2023-01-12T08:36:03Z
yO2SBWOgci4,F1 the best rival: Lewis vs Max<br>MotoGP the best rival: Rossi vs Marquez<br>Football the best rival: Messi vs Ronaldo<br>Tennis the best rival: Rafa Nadal vs Roger Federer <br><br>🔥🔥🔥🔥🔥🔥🔥,0,2023-01-11T04:16:03Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=11m17s"">11:17</a> Why do the cars behind the Pace Car go back &amp; forth? ~ <a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m27s"">13:27</a> I can&#39;t tell...did the driver know he won?",0,2023-01-09T23:45:57Z
yO2SBWOgci4,“It’s called a motor race”….classless comment and disgusting race. And I’m not even a Lewis fan.,0,2023-01-09T06:08:52Z
yO2SBWOgci4,🇹🇷🇹🇷🙏🙏,0,2023-01-07T13:14:09Z
yO2SBWOgci4,"No matter what who said, last lap of Abu Dhabi GP was cheated more than the other cheated race.",0,2023-01-03T07:48:17Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=7m35s"">7:35</a> said that to seb mate",0,2022-12-31T00:04:27Z
yO2SBWOgci4,&quot;Is max ok&quot; shows rival is not an enemy,0,2022-12-29T12:50:16Z
yO2SBWOgci4,Loool I wouldn’t be proud of that one if I was max,0,2022-12-29T07:58:10Z
yO2SBWOgci4,Its ok Max,0,2022-12-28T07:11:05Z
yO2SBWOgci4,"A maior vergonha da F1 até hj, nem o Piquet foi tão descarado 🤬 roubaram o Hamilton pro mundo tô ver, o dickverstapen é o único piloto da história que tem um título que não é dele. Paspalho",0,2022-12-27T02:00:42Z
yO2SBWOgci4,Max spreek gewoon a u b,0,2022-12-24T09:35:18Z
yO2SBWOgci4,"I&#39;ve only just started to get into F1, so I won&#39;t claim any sort of expertise. But Verstappen is starting to strike me as kinda spoiled. Like, he&#39;s a superstar, he knows it and thinks he can do no wrong. So he&#39;s turned into a bit of a brat--or always has been, and stardom just revealed it.",0,2022-12-19T22:16:11Z
yO2SBWOgci4,the mclaren behind max and lewis wished he had popcorn,33,2022-12-19T16:09:10Z
yO2SBWOgci4,Rcc tvtgg ynhj7u,0,2022-12-15T00:24:30Z
yO2SBWOgci4,"yeah Toto, you fcuked it up not Lewis hahahahahaha",0,2022-12-11T01:37:29Z
yO2SBWOgci4,Hamilton This Year Is So S***,0,2022-12-09T21:49:57Z
yO2SBWOgci4,"MERCEDES NOT HAPPY, RED BULL WILL BE DELIGHTED! THEY HAVE SHARED A BRILLIANT CHAMPIONSHIP BATTLE BUT THE CHAMPIONSHIP CAN ONLY BE WON BY ONE, AND ITS GOING DUTCH IN 2021 MAX VERSTAPPEN FOR THE FIRST TIME EVER IS CHAMPION OF THE WORLD!!!! 🧡🇳🇱🏆",1,2023-01-22T19:16:53Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m41s"">13:41</a> 🤣",1,2023-01-22T04:39:37Z
yO2SBWOgci4,Loved seeing llando slide off the track after being so adamant to stay on. Learnt the hard way.,0,2023-01-17T19:48:15Z
yO2SBWOgci4,I don&#39;t think we&#39;ll ever get another season as intense as 2021,1,2023-01-12T08:36:03Z
yO2SBWOgci4,F1 the best rival: Lewis vs Max<br>MotoGP the best rival: Rossi vs Marquez<br>Football the best rival: Messi vs Ronaldo<br>Tennis the best rival: Rafa Nadal vs Roger Federer <br><br>🔥🔥🔥🔥🔥🔥🔥,0,2023-01-11T04:16:03Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=11m17s"">11:17</a> Why do the cars behind the Pace Car go back &amp; forth? ~ <a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m27s"">13:27</a> I can&#39;t tell...did the driver know he won?",0,2023-01-09T23:45:57Z
yO2SBWOgci4,“It’s called a motor race”….classless comment and disgusting race. And I’m not even a Lewis fan.,0,2023-01-09T06:08:52Z
yO2SBWOgci4,🇹🇷🇹🇷🙏🙏,0,2023-01-07T13:14:09Z
yO2SBWOgci4,"No matter what who said, last lap of Abu Dhabi GP was cheated more than the other cheated race.",0,2023-01-03T07:48:17Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=7m35s"">7:35</a> said that to seb mate",0,2022-12-31T00:04:27Z
yO2SBWOgci4,&quot;Is max ok&quot; shows rival is not an enemy,0,2022-12-29T12:50:16Z
yO2SBWOgci4,Loool I wouldn’t be proud of that one if I was max,0,2022-12-29T07:58:10Z
yO2SBWOgci4,Its ok Max,0,2022-12-28T07:11:05Z
yO2SBWOgci4,"A maior vergonha da F1 até hj, nem o Piquet foi tão descarado 🤬 roubaram o Hamilton pro mundo tô ver, o dickverstapen é o único piloto da história que tem um título que não é dele. Paspalho",0,2022-12-27T02:00:42Z
yO2SBWOgci4,Max spreek gewoon a u b,0,2022-12-24T09:35:18Z
yO2SBWOgci4,"I&#39;ve only just started to get into F1, so I won&#39;t claim any sort of expertise. But Verstappen is starting to strike me as kinda spoiled. Like, he&#39;s a superstar, he knows it and thinks he can do no wrong. So he&#39;s turned into a bit of a brat--or always has been, and stardom just revealed it.",0,2022-12-19T22:16:11Z
yO2SBWOgci4,the mclaren behind max and lewis wished he had popcorn,33,2022-12-19T16:09:10Z
yO2SBWOgci4,Rcc tvtgg ynhj7u,0,2022-12-15T00:24:30Z
yO2SBWOgci4,"yeah Toto, you fcuked it up not Lewis hahahahahaha",0,2022-12-11T01:37:29Z
yO2SBWOgci4,Hamilton This Year Is So S***,0,2022-12-09T21:49:57Z
yO2SBWOgci4,"MERCEDES NOT HAPPY, RED BULL WILL BE DELIGHTED! THEY HAVE SHARED A BRILLIANT CHAMPIONSHIP BATTLE BUT THE CHAMPIONSHIP CAN ONLY BE WON BY ONE, AND ITS GOING DUTCH IN 2021 MAX VERSTAPPEN FOR THE FIRST TIME EVER IS CHAMPION OF THE WORLD!!!! 🧡🇳🇱🏆",1,2023-01-22T19:16:53Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m41s"">13:41</a> 🤣",1,2023-01-22T04:39:37Z
yO2SBWOgci4,Loved seeing llando slide off the track after being so adamant to stay on. Learnt the hard way.,0,2023-01-17T19:48:15Z
yO2SBWOgci4,I don&#39;t think we&#39;ll ever get another season as intense as 2021,1,2023-01-12T08:36:03Z
yO2SBWOgci4,F1 the best rival: Lewis vs Max<br>MotoGP the best rival: Rossi vs Marquez<br>Football the best rival: Messi vs Ronaldo<br>Tennis the best rival: Rafa Nadal vs Roger Federer <br><br>🔥🔥🔥🔥🔥🔥🔥,0,2023-01-11T04:16:03Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=11m17s"">11:17</a> Why do the cars behind the Pace Car go back &amp; forth? ~ <a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m27s"">13:27</a> I can&#39;t tell...did the driver know he won?",0,2023-01-09T23:45:57Z
yO2SBWOgci4,“It’s called a motor race”….classless comment and disgusting race. And I’m not even a Lewis fan.,0,2023-01-09T06:08:52Z
yO2SBWOgci4,🇹🇷🇹🇷🙏🙏,0,2023-01-07T13:14:09Z
yO2SBWOgci4,"No matter what who said, last lap of Abu Dhabi GP was cheated more than the other cheated race.",0,2023-01-03T07:48:17Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=7m35s"">7:35</a> said that to seb mate",0,2022-12-31T00:04:27Z
yO2SBWOgci4,&quot;Is max ok&quot; shows rival is not an enemy,0,2022-12-29T12:50:16Z
yO2SBWOgci4,Loool I wouldn’t be proud of that one if I was max,0,2022-12-29T07:58:10Z
yO2SBWOgci4,Its ok Max,0,2022-12-28T07:11:05Z
yO2SBWOgci4,"A maior vergonha da F1 até hj, nem o Piquet foi tão descarado 🤬 roubaram o Hamilton pro mundo tô ver, o dickverstapen é o único piloto da história que tem um título que não é dele. Paspalho",0,2022-12-27T02:00:42Z
yO2SBWOgci4,Max spreek gewoon a u b,0,2022-12-24T09:35:18Z
yO2SBWOgci4,"I&#39;ve only just started to get into F1, so I won&#39;t claim any sort of expertise. But Verstappen is starting to strike me as kinda spoiled. Like, he&#39;s a superstar, he knows it and thinks he can do no wrong. So he&#39;s turned into a bit of a brat--or always has been, and stardom just revealed it.",0,2022-12-19T22:16:11Z
yO2SBWOgci4,the mclaren behind max and lewis wished he had popcorn,33,2022-12-19T16:09:10Z
yO2SBWOgci4,Rcc tvtgg ynhj7u,0,2022-12-15T00:24:30Z
yO2SBWOgci4,"yeah Toto, you fcuked it up not Lewis hahahahahaha",0,2022-12-11T01:37:29Z
yO2SBWOgci4,Hamilton This Year Is So S***,0,2022-12-09T21:49:57Z
yO2SBWOgci4,"MERCEDES NOT HAPPY, RED BULL WILL BE DELIGHTED! THEY HAVE SHARED A BRILLIANT CHAMPIONSHIP BATTLE BUT THE CHAMPIONSHIP CAN ONLY BE WON BY ONE, AND ITS GOING DUTCH IN 2021 MAX VERSTAPPEN FOR THE FIRST TIME EVER IS CHAMPION OF THE WORLD!!!! 🧡🇳🇱🏆",1,2023-01-22T19:16:53Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m41s"">13:41</a> 🤣",1,2023-01-22T04:39:37Z
yO2SBWOgci4,Loved seeing llando slide off the track after being so adamant to stay on. Learnt the hard way.,0,2023-01-17T19:48:15Z
yO2SBWOgci4,I don&#39;t think we&#39;ll ever get another season as intense as 2021,1,2023-01-12T08:36:03Z
yO2SBWOgci4,F1 the best rival: Lewis vs Max<br>MotoGP the best rival: Rossi vs Marquez<br>Football the best rival: Messi vs Ronaldo<br>Tennis the best rival: Rafa Nadal vs Roger Federer <br><br>🔥🔥🔥🔥🔥🔥🔥,0,2023-01-11T04:16:03Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=11m17s"">11:17</a> Why do the cars behind the Pace Car go back &amp; forth? ~ <a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m27s"">13:27</a> I can&#39;t tell...did the driver know he won?",0,2023-01-09T23:45:57Z
yO2SBWOgci4,“It’s called a motor race”….classless comment and disgusting race. And I’m not even a Lewis fan.,0,2023-01-09T06:08:52Z
yO2SBWOgci4,🇹🇷🇹🇷🙏🙏,0,2023-01-07T13:14:09Z
yO2SBWOgci4,"No matter what who said, last lap of Abu Dhabi GP was cheated more than the other cheated race.",0,2023-01-03T07:48:17Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=7m35s"">7:35</a> said that to seb mate",0,2022-12-31T00:04:27Z
yO2SBWOgci4,&quot;Is max ok&quot; shows rival is not an enemy,0,2022-12-29T12:50:16Z
yO2SBWOgci4,Loool I wouldn’t be proud of that one if I was max,0,2022-12-29T07:58:10Z
yO2SBWOgci4,Its ok Max,0,2022-12-28T07:11:05Z
yO2SBWOgci4,"A maior vergonha da F1 até hj, nem o Piquet foi tão descarado 🤬 roubaram o Hamilton pro mundo tô ver, o dickverstapen é o único piloto da história que tem um título que não é dele. Paspalho",0,2022-12-27T02:00:42Z
yO2SBWOgci4,Max spreek gewoon a u b,0,2022-12-24T09:35:18Z
yO2SBWOgci4,"I&#39;ve only just started to get into F1, so I won&#39;t claim any sort of expertise. But Verstappen is starting to strike me as kinda spoiled. Like, he&#39;s a superstar, he knows it and thinks he can do no wrong. So he&#39;s turned into a bit of a brat--or always has been, and stardom just revealed it.",0,2022-12-19T22:16:11Z
yO2SBWOgci4,the mclaren behind max and lewis wished he had popcorn,33,2022-12-19T16:09:10Z
yO2SBWOgci4,Rcc tvtgg ynhj7u,0,2022-12-15T00:24:30Z
yO2SBWOgci4,"yeah Toto, you fcuked it up not Lewis hahahahahaha",0,2022-12-11T01:37:29Z
yO2SBWOgci4,Hamilton This Year Is So S***,0,2022-12-09T21:49:57Z
yO2SBWOgci4,"MERCEDES NOT HAPPY, RED BULL WILL BE DELIGHTED! THEY HAVE SHARED A BRILLIANT CHAMPIONSHIP BATTLE BUT THE CHAMPIONSHIP CAN ONLY BE WON BY ONE, AND ITS GOING DUTCH IN 2021 MAX VERSTAPPEN FOR THE FIRST TIME EVER IS CHAMPION OF THE WORLD!!!! 🧡🇳🇱🏆",1,2023-01-22T19:16:53Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m41s"">13:41</a> 🤣",1,2023-01-22T04:39:37Z
yO2SBWOgci4,Loved seeing llando slide off the track after being so adamant to stay on. Learnt the hard way.,0,2023-01-17T19:48:15Z
yO2SBWOgci4,I don&#39;t think we&#39;ll ever get another season as intense as 2021,1,2023-01-12T08:36:03Z
yO2SBWOgci4,F1 the best rival: Lewis vs Max<br>MotoGP the best rival: Rossi vs Marquez<br>Football the best rival: Messi vs Ronaldo<br>Tennis the best rival: Rafa Nadal vs Roger Federer <br><br>🔥🔥🔥🔥🔥🔥🔥,0,2023-01-11T04:16:03Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=11m17s"">11:17</a> Why do the cars behind the Pace Car go back &amp; forth? ~ <a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m27s"">13:27</a> I can&#39;t tell...did the driver know he won?",0,2023-01-09T23:45:57Z
yO2SBWOgci4,“It’s called a motor race”….classless comment and disgusting race. And I’m not even a Lewis fan.,0,2023-01-09T06:08:52Z
yO2SBWOgci4,🇹🇷🇹🇷🙏🙏,0,2023-01-07T13:14:09Z
yO2SBWOgci4,"No matter what who said, last lap of Abu Dhabi GP was cheated more than the other cheated race.",0,2023-01-03T07:48:17Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=7m35s"">7:35</a> said that to seb mate",0,2022-12-31T00:04:27Z
yO2SBWOgci4,&quot;Is max ok&quot; shows rival is not an enemy,0,2022-12-29T12:50:16Z
yO2SBWOgci4,Loool I wouldn’t be proud of that one if I was max,0,2022-12-29T07:58:10Z
yO2SBWOgci4,Its ok Max,0,2022-12-28T07:11:05Z
yO2SBWOgci4,"A maior vergonha da F1 até hj, nem o Piquet foi tão descarado 🤬 roubaram o Hamilton pro mundo tô ver, o dickverstapen é o único piloto da história que tem um título que não é dele. Paspalho",0,2022-12-27T02:00:42Z
yO2SBWOgci4,Max spreek gewoon a u b,0,2022-12-24T09:35:18Z
yO2SBWOgci4,"I&#39;ve only just started to get into F1, so I won&#39;t claim any sort of expertise. But Verstappen is starting to strike me as kinda spoiled. Like, he&#39;s a superstar, he knows it and thinks he can do no wrong. So he&#39;s turned into a bit of a brat--or always has been, and stardom just revealed it.",0,2022-12-19T22:16:11Z
yO2SBWOgci4,the mclaren behind max and lewis wished he had popcorn,33,2022-12-19T16:09:10Z
yO2SBWOgci4,Rcc tvtgg ynhj7u,0,2022-12-15T00:24:30Z
yO2SBWOgci4,"yeah Toto, you fcuked it up not Lewis hahahahahaha",0,2022-12-11T01:37:29Z
yO2SBWOgci4,Hamilton This Year Is So S***,0,2022-12-09T21:49:57Z
yO2SBWOgci4,"MERCEDES NOT HAPPY, RED BULL WILL BE DELIGHTED! THEY HAVE SHARED A BRILLIANT CHAMPIONSHIP BATTLE BUT THE CHAMPIONSHIP CAN ONLY BE WON BY ONE, AND ITS GOING DUTCH IN 2021 MAX VERSTAPPEN FOR THE FIRST TIME EVER IS CHAMPION OF THE WORLD!!!! 🧡🇳🇱🏆",1,2023-01-22T19:16:53Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m41s"">13:41</a> 🤣",1,2023-01-22T04:39:37Z
yO2SBWOgci4,Loved seeing llando slide off the track after being so adamant to stay on. Learnt the hard way.,0,2023-01-17T19:48:15Z
yO2SBWOgci4,I don&#39;t think we&#39;ll ever get another season as intense as 2021,1,2023-01-12T08:36:03Z
yO2SBWOgci4,F1 the best rival: Lewis vs Max<br>MotoGP the best rival: Rossi vs Marquez<br>Football the best rival: Messi vs Ronaldo<br>Tennis the best rival: Rafa Nadal vs Roger Federer <br><br>🔥🔥🔥🔥🔥🔥🔥,0,2023-01-11T04:16:03Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=11m17s"">11:17</a> Why do the cars behind the Pace Car go back &amp; forth? ~ <a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m27s"">13:27</a> I can&#39;t tell...did the driver know he won?",0,2023-01-09T23:45:57Z
yO2SBWOgci4,“It’s called a motor race”….classless comment and disgusting race. And I’m not even a Lewis fan.,0,2023-01-09T06:08:52Z
yO2SBWOgci4,🇹🇷🇹🇷🙏🙏,0,2023-01-07T13:14:09Z
yO2SBWOgci4,"No matter what who said, last lap of Abu Dhabi GP was cheated more than the other cheated race.",0,2023-01-03T07:48:17Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=7m35s"">7:35</a> said that to seb mate",0,2022-12-31T00:04:27Z
yO2SBWOgci4,&quot;Is max ok&quot; shows rival is not an enemy,0,2022-12-29T12:50:16Z
yO2SBWOgci4,Loool I wouldn’t be proud of that one if I was max,0,2022-12-29T07:58:10Z
yO2SBWOgci4,Its ok Max,0,2022-12-28T07:11:05Z
yO2SBWOgci4,"A maior vergonha da F1 até hj, nem o Piquet foi tão descarado 🤬 roubaram o Hamilton pro mundo tô ver, o dickverstapen é o único piloto da história que tem um título que não é dele. Paspalho",0,2022-12-27T02:00:42Z
yO2SBWOgci4,Max spreek gewoon a u b,0,2022-12-24T09:35:18Z
yO2SBWOgci4,"I&#39;ve only just started to get into F1, so I won&#39;t claim any sort of expertise. But Verstappen is starting to strike me as kinda spoiled. Like, he&#39;s a superstar, he knows it and thinks he can do no wrong. So he&#39;s turned into a bit of a brat--or always has been, and stardom just revealed it.",0,2022-12-19T22:16:11Z
yO2SBWOgci4,the mclaren behind max and lewis wished he had popcorn,33,2022-12-19T16:09:10Z
yO2SBWOgci4,Rcc tvtgg ynhj7u,0,2022-12-15T00:24:30Z
yO2SBWOgci4,"yeah Toto, you fcuked it up not Lewis hahahahahaha",0,2022-12-11T01:37:29Z
yO2SBWOgci4,Hamilton This Year Is So S***,0,2022-12-09T21:49:57Z
yO2SBWOgci4,"MERCEDES NOT HAPPY, RED BULL WILL BE DELIGHTED! THEY HAVE SHARED A BRILLIANT CHAMPIONSHIP BATTLE BUT THE CHAMPIONSHIP CAN ONLY BE WON BY ONE, AND ITS GOING DUTCH IN 2021 MAX VERSTAPPEN FOR THE FIRST TIME EVER IS CHAMPION OF THE WORLD!!!! 🧡🇳🇱🏆",1,2023-01-22T19:16:53Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m41s"">13:41</a> 🤣",1,2023-01-22T04:39:37Z
yO2SBWOgci4,Loved seeing llando slide off the track after being so adamant to stay on. Learnt the hard way.,0,2023-01-17T19:48:15Z
yO2SBWOgci4,I don&#39;t think we&#39;ll ever get another season as intense as 2021,1,2023-01-12T08:36:03Z
yO2SBWOgci4,F1 the best rival: Lewis vs Max<br>MotoGP the best rival: Rossi vs Marquez<br>Football the best rival: Messi vs Ronaldo<br>Tennis the best rival: Rafa Nadal vs Roger Federer <br><br>🔥🔥🔥🔥🔥🔥🔥,0,2023-01-11T04:16:03Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=11m17s"">11:17</a> Why do the cars behind the Pace Car go back &amp; forth? ~ <a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m27s"">13:27</a> I can&#39;t tell...did the driver know he won?",0,2023-01-09T23:45:57Z
yO2SBWOgci4,“It’s called a motor race”….classless comment and disgusting race. And I’m not even a Lewis fan.,0,2023-01-09T06:08:52Z
yO2SBWOgci4,🇹🇷🇹🇷🙏🙏,0,2023-01-07T13:14:09Z
yO2SBWOgci4,"No matter what who said, last lap of Abu Dhabi GP was cheated more than the other cheated race.",0,2023-01-03T07:48:17Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=7m35s"">7:35</a> said that to seb mate",0,2022-12-31T00:04:27Z
yO2SBWOgci4,&quot;Is max ok&quot; shows rival is not an enemy,0,2022-12-29T12:50:16Z
yO2SBWOgci4,Loool I wouldn’t be proud of that one if I was max,0,2022-12-29T07:58:10Z
yO2SBWOgci4,Its ok Max,0,2022-12-28T07:11:05Z
yO2SBWOgci4,"A maior vergonha da F1 até hj, nem o Piquet foi tão descarado 🤬 roubaram o Hamilton pro mundo tô ver, o dickverstapen é o único piloto da história que tem um título que não é dele. Paspalho",0,2022-12-27T02:00:42Z
yO2SBWOgci4,Max spreek gewoon a u b,0,2022-12-24T09:35:18Z
yO2SBWOgci4,"I&#39;ve only just started to get into F1, so I won&#39;t claim any sort of expertise. But Verstappen is starting to strike me as kinda spoiled. Like, he&#39;s a superstar, he knows it and thinks he can do no wrong. So he&#39;s turned into a bit of a brat--or always has been, and stardom just revealed it.",0,2022-12-19T22:16:11Z
yO2SBWOgci4,the mclaren behind max and lewis wished he had popcorn,33,2022-12-19T16:09:10Z
yO2SBWOgci4,Rcc tvtgg ynhj7u,0,2022-12-15T00:24:30Z
yO2SBWOgci4,"yeah Toto, you fcuked it up not Lewis hahahahahaha",0,2022-12-11T01:37:29Z
yO2SBWOgci4,Hamilton This Year Is So S***,0,2022-12-09T21:49:57Z
yO2SBWOgci4,"MERCEDES NOT HAPPY, RED BULL WILL BE DELIGHTED! THEY HAVE SHARED A BRILLIANT CHAMPIONSHIP BATTLE BUT THE CHAMPIONSHIP CAN ONLY BE WON BY ONE, AND ITS GOING DUTCH IN 2021 MAX VERSTAPPEN FOR THE FIRST TIME EVER IS CHAMPION OF THE WORLD!!!! 🧡🇳🇱🏆",1,2023-01-22T19:16:53Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m41s"">13:41</a> 🤣",1,2023-01-22T04:39:37Z
yO2SBWOgci4,Loved seeing llando slide off the track after being so adamant to stay on. Learnt the hard way.,0,2023-01-17T19:48:15Z
yO2SBWOgci4,I don&#39;t think we&#39;ll ever get another season as intense as 2021,1,2023-01-12T08:36:03Z
yO2SBWOgci4,F1 the best rival: Lewis vs Max<br>MotoGP the best rival: Rossi vs Marquez<br>Football the best rival: Messi vs Ronaldo<br>Tennis the best rival: Rafa Nadal vs Roger Federer <br><br>🔥🔥🔥🔥🔥🔥🔥,0,2023-01-11T04:16:03Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=11m17s"">11:17</a> Why do the cars behind the Pace Car go back &amp; forth? ~ <a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m27s"">13:27</a> I can&#39;t tell...did the driver know he won?",0,2023-01-09T23:45:57Z
yO2SBWOgci4,“It’s called a motor race”….classless comment and disgusting race. And I’m not even a Lewis fan.,0,2023-01-09T06:08:52Z
yO2SBWOgci4,🇹🇷🇹🇷🙏🙏,0,2023-01-07T13:14:09Z
yO2SBWOgci4,"No matter what who said, last lap of Abu Dhabi GP was cheated more than the other cheated race.",0,2023-01-03T07:48:17Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=7m35s"">7:35</a> said that to seb mate",0,2022-12-31T00:04:27Z
yO2SBWOgci4,&quot;Is max ok&quot; shows rival is not an enemy,0,2022-12-29T12:50:16Z
yO2SBWOgci4,Loool I wouldn’t be proud of that one if I was max,0,2022-12-29T07:58:10Z
yO2SBWOgci4,Its ok Max,0,2022-12-28T07:11:05Z
yO2SBWOgci4,"A maior vergonha da F1 até hj, nem o Piquet foi tão descarado 🤬 roubaram o Hamilton pro mundo tô ver, o dickverstapen é o único piloto da história que tem um título que não é dele. Paspalho",0,2022-12-27T02:00:42Z
yO2SBWOgci4,Max spreek gewoon a u b,0,2022-12-24T09:35:18Z
yO2SBWOgci4,"I&#39;ve only just started to get into F1, so I won&#39;t claim any sort of expertise. But Verstappen is starting to strike me as kinda spoiled. Like, he&#39;s a superstar, he knows it and thinks he can do no wrong. So he&#39;s turned into a bit of a brat--or always has been, and stardom just revealed it.",0,2022-12-19T22:16:11Z
yO2SBWOgci4,the mclaren behind max and lewis wished he had popcorn,33,2022-12-19T16:09:10Z
yO2SBWOgci4,Rcc tvtgg ynhj7u,0,2022-12-15T00:24:30Z
yO2SBWOgci4,"yeah Toto, you fcuked it up not Lewis hahahahahaha",0,2022-12-11T01:37:29Z
yO2SBWOgci4,Hamilton This Year Is So S***,0,2022-12-09T21:49:57Z
yO2SBWOgci4,"MERCEDES NOT HAPPY, RED BULL WILL BE DELIGHTED! THEY HAVE SHARED A BRILLIANT CHAMPIONSHIP BATTLE BUT THE CHAMPIONSHIP CAN ONLY BE WON BY ONE, AND ITS GOING DUTCH IN 2021 MAX VERSTAPPEN FOR THE FIRST TIME EVER IS CHAMPION OF THE WORLD!!!! 🧡🇳🇱🏆",1,2023-01-22T19:16:53Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m41s"">13:41</a> 🤣",1,2023-01-22T04:39:37Z
yO2SBWOgci4,Loved seeing llando slide off the track after being so adamant to stay on. Learnt the hard way.,0,2023-01-17T19:48:15Z
yO2SBWOgci4,I don&#39;t think we&#39;ll ever get another season as intense as 2021,1,2023-01-12T08:36:03Z
yO2SBWOgci4,F1 the best rival: Lewis vs Max<br>MotoGP the best rival: Rossi vs Marquez<br>Football the best rival: Messi vs Ronaldo<br>Tennis the best rival: Rafa Nadal vs Roger Federer <br><br>🔥🔥🔥🔥🔥🔥🔥,0,2023-01-11T04:16:03Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=11m17s"">11:17</a> Why do the cars behind the Pace Car go back &amp; forth? ~ <a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=13m27s"">13:27</a> I can&#39;t tell...did the driver know he won?",0,2023-01-09T23:45:57Z
yO2SBWOgci4,“It’s called a motor race”….classless comment and disgusting race. And I’m not even a Lewis fan.,0,2023-01-09T06:08:52Z
yO2SBWOgci4,🇹🇷🇹🇷🙏🙏,0,2023-01-07T13:14:09Z
yO2SBWOgci4,"No matter what who said, last lap of Abu Dhabi GP was cheated more than the other cheated race.",0,2023-01-03T07:48:17Z
yO2SBWOgci4,"<a href=""https://www.youtube.com/watch?v=yO2SBWOgci4&amp;t=7m35s"">7:35</a> said that to seb mate",0,2022-12-31T00:04:27Z
yO2SBWOgci4,&quot;Is max ok&quot; shows rival is not an enemy,0,2022-12-29T12:50:16Z
